Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
1,,045d28m39.7365900000s,009d13m32.8375260000s,161.952,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7365900000s,009d13m32.8375260000s,159.876,2.076,5036044.347,517647.070,159.876,FIXED,29,35,0.870,0.014,0.017,1.0,2023-11-13,11:16:17,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.512,0,0.00000000,270.00000000,0.000,0.000,0.000
2,,045d28m39.6982800000s,009d13m32.8889760000s,162.029,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6982800000s,009d13m32.8889760000s,159.953,2.076,5036043.168,517648.190,159.953,FIXED,31,35,0.890,0.014,0.017,0.0,2023-11-13,11:16:39,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.749,0,0.00000000,270.00000000,0.000,0.000,0.000
3,,045d28m39.6745140000s,009d13m32.9515500000s,162.047,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6745140000s,009d13m32.9515500000s,159.971,2.076,5036042.439,517649.551,159.971,FIXED,27,35,0.920,0.014,0.017,0.0,2023-11-13,11:16:41,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,277.647,0,0.00000000,270.00000000,0.000,0.000,0.000
4,,045d28m39.6505500000s,009d13m33.0141480000s,162.072,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6505500000s,009d13m33.0141480000s,159.996,2.076,5036041.703,517650.912,159.996,FIXED,30,35,0.920,0.014,0.017,0.0,2023-11-13,11:16:43,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,276.549,0,0.00000000,270.00000000,0.000,0.000,0.000
5,,045d28m39.6266220000s,009d13m33.0731580000s,162.065,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6266220000s,009d13m33.0731580000s,159.989,2.076,5036040.968,517652.195,159.989,FIXED,30,35,0.900,0.014,0.017,0.0,2023-11-13,11:16:45,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,275.533,0,0.00000000,270.00000000,0.000,0.000,0.000
6,,045d28m39.6061980000s,009d13m33.1280340000s,162.071,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6061980000s,009d13m33.1280340000s,159.995,2.076,5036040.341,517653.388,159.995,FIXED,29,35,0.830,0.015,0.018,0.0,2023-11-13,11:16:47,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,274.574,0,0.00000000,270.00000000,0.000,0.000,0.000
7,,045d28m39.5919660000s,009d13m33.1852740000s,162.089,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5919660000s,009d13m33.1852740000s,160.013,2.076,5036039.905,517654.632,160.013,FIXED,29,35,0.900,0.016,0.019,0.0,2023-11-13,11:16:49,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,273.514,0,0.00000000,270.00000000,0.000,0.000,0.000
8,,045d28m39.5717460000s,009d13m33.2460480000s,162.110,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5717460000s,009d13m33.2460480000s,160.034,2.076,5036039.285,517655.953,160.034,FIXED,30,34,0.860,0.014,0.017,0.0,2023-11-13,11:16:51,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,272.436,0,0.00000000,270.00000000,0.000,0.000,0.000
9,,045d28m39.5532780000s,009d13m33.3035520000s,162.109,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5532780000s,009d13m33.3035520000s,160.033,2.076,5036038.719,517657.203,160.033,FIXED,30,34,0.860,0.014,0.017,0.0,2023-11-13,11:16:53,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,271.416,0,0.00000000,270.00000000,0.000,0.000,0.000
10,,045d28m39.5354280000s,009d13m33.3630420000s,162.112,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5354280000s,009d13m33.3630420000s,160.036,2.076,5036038.172,517658.496,160.036,FIXED,30,34,0.870,0.014,0.017,0.0,2023-11-13,11:16:55,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.352,0,0.00000000,270.00000000,0.000,0.000,0.000
11,,045d28m39.5153160000s,009d13m33.4260840000s,162.144,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5153160000s,009d13m33.4260840000s,160.068,2.076,5036037.555,517659.867,160.068,FIXED,30,34,0.860,0.014,0.017,0.0,2023-11-13,11:16:57,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.235,0,0.00000000,270.00000000,0.000,0.000,0.000
12,,045d28m39.4989120000s,009d13m33.4857420000s,162.162,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.4989120000s,009d13m33.4857420000s,160.086,2.076,5036037.052,517661.164,160.086,FIXED,30,34,0.870,0.014,0.017,0.0,2023-11-13,11:16:59,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.159,0,0.00000000,270.00000000,0.000,0.000,0.000
13,,045d28m39.4784940000s,009d13m33.5431980000s,162.154,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.4784940000s,009d13m33.5431980000s,160.078,2.076,5036036.426,517662.413,160.078,FIXED,28,34,0.890,0.014,0.017,0.0,2023-11-13,11:17:01,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.172,0,0.00000000,270.00000000,0.000,0.000,0.000
14,,045d28m39.4601520000s,009d13m33.6060240000s,162.164,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.4601520000s,009d13m33.6060240000s,160.088,2.076,5036035.863,517663.778,160.088,FIXED,28,34,0.840,0.014,0.017,0.0,2023-11-13,11:17:03,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.057,0,0.00000000,270.00000000,0.000,0.000,0.000
15,,045d28m39.4399860000s,009d13m33.6648360000s,162.169,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.4399860000s,009d13m33.6648360000s,160.093,2.076,5036035.245,517665.057,160.093,FIXED,30,33,0.890,0.014,0.017,0.0,2023-11-13,11:17:05,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.045,0,0.00000000,270.00000000,0.000,0.000,0.000
16,,045d28m39.4194360000s,009d13m33.7265100000s,162.190,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.4194360000s,009d13m33.7265100000s,160.114,2.076,5036034.614,517666.398,160.114,FIXED,30,33,0.840,0.014,0.017,0.0,2023-11-13,11:17:07,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.981,0,0.00000000,270.00000000,0.000,0.000,0.000
17,,045d28m39.4000440000s,009d13m33.7898460000s,162.181,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.4000440000s,009d13m33.7898460000s,160.105,2.076,5036034.020,517667.774,160.105,FIXED,30,34,0.840,0.014,0.017,0.0,2023-11-13,11:17:09,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.879,0,0.00000000,270.00000000,0.000,0.000,0.000
18,,045d28m39.3798060000s,009d13m33.8535000000s,162.204,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.3798060000s,009d13m33.8535000000s,160.128,2.076,5036033.399,517669.158,160.128,FIXED,30,34,0.840,0.014,0.017,0.0,2023-11-13,11:17:11,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,261.779,0,0.00000000,270.00000000,0.000,0.000,0.000
19,,045d28m39.3595440000s,009d13m33.9199740000s,162.208,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.3595440000s,009d13m33.9199740000s,160.132,2.076,5036032.778,517670.603,160.132,FIXED,30,34,0.840,0.014,0.017,0.0,2023-11-13,11:17:13,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,260.628,0,0.00000000,270.00000000,0.000,0.000,0.000
20,,045d28m39.3438720000s,009d13m33.9879420000s,162.225,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.3438720000s,009d13m33.9879420000s,160.149,2.076,5036032.298,517672.080,160.149,FIXED,30,34,0.840,0.014,0.017,0.0,2023-11-13,11:17:15,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,259.403,0,0.00000000,270.00000000,0.000,0.000,0.000
