Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
1,,045d28m42.6017580000s,009d13m32.8730580000s,162.199,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6017580000s,009d13m32.8730580000s,160.123,2.076,5036132.769,517647.593,160.123,FIXED,27,34,0.900,0.015,0.017,3.0,2023-11-13,11:28:17,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.196,0,0.00000000,270.00000000,0.000,0.000,0.000
2,,045d28m42.6198540000s,009d13m32.9175600000s,162.227,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6198540000s,009d13m32.9175600000s,160.151,2.076,5036133.330,517648.557,160.151,FIXED,28,34,0.900,0.014,0.017,0.0,2023-11-13,11:28:29,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.266,0,0.00000000,270.00000000,0.000,0.000,0.000
3,,045d28m42.6413400000s,009d13m32.9546700000s,162.242,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6413400000s,009d13m32.9546700000s,160.166,2.076,5036133.996,517649.361,160.166,FIXED,25,33,1.010,0.014,0.017,0.0,2023-11-13,11:28:31,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.503,0,0.00000000,270.00000000,0.000,0.000,0.000
4,,045d28m42.6657480000s,009d13m33.0134820000s,162.237,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6657480000s,009d13m33.0134820000s,160.161,2.076,5036134.752,517650.636,160.161,FIXED,27,36,0.920,0.014,0.017,0.0,2023-11-13,11:28:34,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.283,0,0.00000000,270.00000000,0.000,0.000,0.000
5,,045d28m42.6843660000s,009d13m33.0583560000s,162.252,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6843660000s,009d13m33.0583560000s,160.176,2.076,5036135.330,517651.608,160.176,FIXED,26,35,0.950,0.014,0.017,0.0,2023-11-13,11:28:36,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.352,0,0.00000000,270.00000000,0.000,0.000,0.000
6,,045d28m42.7053960000s,009d13m33.1059300000s,162.248,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7053960000s,009d13m33.1059300000s,160.172,2.076,5036135.982,517652.639,160.172,FIXED,25,35,0.950,0.014,0.017,0.0,2023-11-13,11:28:38,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,264.372,0,0.00000000,270.00000000,0.000,0.000,0.000
7,,045d28m42.7246020000s,009d13m33.1514040000s,162.254,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7246020000s,009d13m33.1514040000s,160.178,2.076,5036136.577,517653.625,160.178,FIXED,25,34,0.920,0.014,0.017,0.0,2023-11-13,11:28:40,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.433,0,0.00000000,270.00000000,0.000,0.000,0.000
8,,045d28m42.7436700000s,009d13m33.1946880000s,162.292,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7436700000s,009d13m33.1946880000s,160.216,2.076,5036137.168,517654.563,160.216,FIXED,25,35,0.960,0.014,0.017,0.0,2023-11-13,11:28:42,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.539,0,0.00000000,270.00000000,0.000,0.000,0.000
9,,045d28m42.7624620000s,009d13m33.2415360000s,162.311,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7624620000s,009d13m33.2415360000s,160.235,2.076,5036137.751,517655.579,160.235,FIXED,25,35,1.000,0.014,0.017,0.0,2023-11-13,11:28:44,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,261.572,0,0.00000000,270.00000000,0.000,0.000,0.000
10,,045d28m42.7838340000s,009d13m33.2817540000s,162.320,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7838340000s,009d13m33.2817540000s,160.244,2.076,5036138.413,517656.450,160.244,FIXED,27,34,0.930,0.014,0.017,0.0,2023-11-13,11:28:46,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,260.757,0,0.00000000,270.00000000,0.000,0.000,0.000
11,,045d28m42.8042280000s,009d13m33.3307020000s,162.337,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8042280000s,009d13m33.3307020000s,160.261,2.076,5036139.045,517657.511,160.261,FIXED,28,35,0.880,0.014,0.017,0.0,2023-11-13,11:28:49,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,259.753,0,0.00000000,270.00000000,0.000,0.000,0.000
12,,045d28m42.8210040000s,009d13m33.3797820000s,162.354,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8210040000s,009d13m33.3797820000s,160.278,2.076,5036139.566,517658.575,160.278,FIXED,27,29,0.880,0.014,0.017,0.0,2023-11-13,11:28:51,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,258.738,0,0.00000000,270.00000000,0.000,0.000,0.000
13,,045d28m42.8377680000s,009d13m33.4230300000s,162.351,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8377680000s,009d13m33.4230300000s,160.275,2.076,5036140.086,517659.512,160.275,FIXED,28,28,0.900,0.014,0.017,0.0,2023-11-13,11:28:53,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,257.853,0,0.00000000,270.00000000,0.000,0.000,0.000
14,,045d28m42.8596980000s,009d13m33.4864920000s,162.364,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8596980000s,009d13m33.4864920000s,160.288,2.076,5036140.767,517660.888,160.288,FIXED,29,35,0.870,0.014,0.017,0.0,2023-11-13,11:28:56,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,256.546,0,0.00000000,270.00000000,0.000,0.000,0.000
15,,045d28m42.8763240000s,009d13m33.5324880000s,162.349,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8763240000s,009d13m33.5324880000s,160.273,2.076,5036141.283,517661.885,160.273,FIXED,28,35,0.860,0.014,0.017,0.0,2023-11-13,11:28:58,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,255.606,0,0.00000000,270.00000000,0.000,0.000,0.000
16,,045d28m42.8935200000s,009d13m33.5763060000s,162.356,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8935200000s,009d13m33.5763060000s,160.280,2.076,5036141.816,517662.835,160.280,FIXED,29,29,0.860,0.014,0.017,0.0,2023-11-13,11:29:00,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,254.714,0,0.00000000,270.00000000,0.000,0.000,0.000
17,,045d28m42.9108780000s,009d13m33.6212040000s,162.354,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9108780000s,009d13m33.6212040000s,160.278,2.076,5036142.354,517663.808,160.278,FIXED,28,33,0.870,0.014,0.017,0.0,2023-11-13,11:29:02,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,253.801,0,0.00000000,270.00000000,0.000,0.000,0.000
18,,045d28m42.9276960000s,009d13m33.6705900000s,162.361,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9276960000s,009d13m33.6705900000s,160.285,2.076,5036142.876,517664.879,160.285,FIXED,30,33,0.870,0.014,0.017,0.0,2023-11-13,11:29:04,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,252.790,0,0.00000000,270.00000000,0.000,0.000,0.000
19,,045d28m42.9436020000s,009d13m33.7156680000s,162.346,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9436020000s,009d13m33.7156680000s,160.270,2.076,5036143.370,517665.856,160.270,FIXED,29,33,0.860,0.014,0.017,0.0,2023-11-13,11:29:06,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,251.874,0,0.00000000,270.00000000,0.000,0.000,0.000
20,,045d28m42.9573000000s,009d13m33.7593300000s,162.345,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9573000000s,009d13m33.7593300000s,160.269,2.076,5036143.795,517666.803,160.269,FIXED,29,33,0.860,0.014,0.017,0.0,2023-11-13,11:29:08,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,250.981,0,0.00000000,270.00000000,0.000,0.000,0.000
21,,045d28m42.9705060000s,009d13m33.8018760000s,162.351,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9705060000s,009d13m33.8018760000s,160.275,2.076,5036144.205,517667.726,160.275,FIXED,28,33,0.900,0.014,0.017,0.0,2023-11-13,11:29:10,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,250.110,0,0.00000000,270.00000000,0.000,0.000,0.000
22,,045d28m42.9849540000s,009d13m33.8535600000s,162.343,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9849540000s,009d13m33.8535600000s,160.267,2.076,5036144.654,517668.846,160.267,FIXED,29,33,0.860,0.014,0.017,0.0,2023-11-13,11:29:12,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,249.050,0,0.00000000,270.00000000,0.000,0.000,0.000
23,,045d28m43.0019040000s,009d13m33.9063660000s,162.354,0.0000000000000000,0.0000000000000000,0.000000,045d28m43.0019040000s,009d13m33.9063660000s,160.278,2.076,5036145.181,517669.991,160.278,FIXED,29,33,0.920,0.014,0.017,0.0,2023-11-13,11:29:14,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,247.974,0,0.00000000,270.00000000,0.000,0.000,0.000
